date,tournament,status,home_team,away_team,home_score,away_score,odds_1,odds_x,odds_2
24 Sep 2025,Superettan 2025,Finished,Oddevold,Falkenberg,2,2,2.65,3.40,2.88
24 Sep 2025,Superettan 2025,Finished,Landskrona,Kalmar,0,0,5.10,3.90,1.72
24 Sep 2025,Superettan 2025,Finished,Orebro,Varberg,1,1,3.00,3.65,2.49
20 Sep 2025,Superettan 2025,Finished,Brage,Orebro,4,5,2.33,3.70,3.04
20 Sep 2025,Superettan 2025,Finished,Kalmar,Sandviken,4,0,1.41,4.96,8.18
20 Sep 2025,Superettan 2025,Finished,Utsikten,Landskrona,4,0,2.95,3.53,2.54
20 Sep 2025,Superettan 2025,Finished,Helsingborg,Orgryte,0,1,2.95,3.75,2.30
20 Sep 2025,Superettan 2025,Finished,Varberg,Trelleborg,3,1,1.64,4.21,5.80
19 Sep 2025,Superettan 2025,Finished,Falkenberg,Sundsvall,3,0,1.67,4.05,5.30
19 Sep 2025,Superettan 2025,Finished,Vasteras SK,Oddevold,2,0,1.60,4.20,6.01
19 Sep 2025,Superettan 2025,Finished,Ostersund,Umea FC,3,0,1.72,4.25,4.90
16 Sep 2025,Superettan 2025,Finished,Helsingborg,Landskrona,0,0,2.22,3.67,4.00
15 Sep 2025,Superettan 2025,Finished,Orgryte,Umea FC,3,1,1.42,5.99,8.46
14 Sep 2025,Superettan 2025,Finished,Trelleborg,Sandviken,1,2,2.27,3.56,3.25
14 Sep 2025,Superettan 2025,Finished,Kalmar,Vasteras SK,2,1,2.30,3.40,3.21
13 Sep 2025,Superettan 2025,Finished,Oddevold,Brage,4,0,2.41,3.68,3.11
13 Sep 2025,Superettan 2025,Finished,Orebro,Ostersund,2,0,2.54,3.62,2.90
13 Sep 2025,Superettan 2025,Finished,Sundsvall,Varberg,2,3,2.98,3.40,2.58
13 Sep 2025,Superettan 2025,Finished,Falkenberg,Utsikten,3,1,1.75,4.13,5.05
31 Aug 2025,Superettan 2025,Finished,Utsikten,Orgryte,1,2,4.33,4.16,1.80
31 Aug 2025,Superettan 2025,Finished,Brage,Trelleborg,2,1,2.27,3.70,3.14
31 Aug 2025,Superettan 2025,Finished,Umea FC,Oddevold,0,2,2.91,3.64,2.37
30 Aug 2025,Superettan 2025,Finished,Ostersund,Kalmar,0,0,4.80,4.05,1.77
30 Aug 2025,Superettan 2025,Finished,Landskrona,Sundsvall,2,1,1.92,3.73,4.21
30 Aug 2025,Superettan 2025,Finished,Sandviken,Orebro,2,1,2.29,3.70,3.11
30 Aug 2025,Superettan 2025,Finished,Varberg,Falkenberg,3,2,2.04,3.68,3.65
30 Aug 2025,Superettan 2025,Finished,Vasteras SK,Helsingborg,4,0,1.61,4.32,5.80
26 Aug 2025,Superettan 2025,Finished,Kalmar,Helsingborg,2,0,1.81,3.95,5.10
25 Aug 2025,Superettan 2025,Finished,Falkenberg,Sandviken,4,0,2.16,3.52,3.72
25 Aug 2025,Superettan 2025,Finished,Trelleborg,Landskrona,1,0,2.54,3.60,2.85
25 Aug 2025,Superettan 2025,Finished,Sundsvall,Oddevold,0,1,2.62,3.32,3.00
25 Aug 2025,Superettan 2025,Finished,Orebro,Umea FC,1,1,1.94,3.86,4.20
24 Aug 2025,Superettan 2025,Finished,Vasteras SK,Utsikten,3,0,1.38,5.62,9.39
24 Aug 2025,Superettan 2025,Finished,Varberg,Ostersund,1,1,1.77,3.94,4.51
23 Aug 2025,Superettan 2025,Finished,Orgryte,Brage,2,2,1.58,4.83,5.75
17 Aug 2025,Superettan 2025,Finished,Sandviken,Landskrona,0,1,2.54,3.65,2.81
17 Aug 2025,Superettan 2025,Finished,Orebro,Orgryte,1,3,4.30,4.08,1.83
16 Aug 2025,Superettan 2025,Finished,Brage,Vasteras SK,3,1,3.83,3.76,2.06
16 Aug 2025,Superettan 2025,Finished,Helsingborg,Falkenberg,0,0,2.13,3.65,3.58
16 Aug 2025,Superettan 2025,Finished,Umea FC,Kalmar,0,1,7.00,4.63,1.49
16 Aug 2025,Superettan 2025,Finished,Ostersund,Sundsvall,1,3,2.20,3.40,3.63
15 Aug 2025,Superettan 2025,Finished,Oddevold,Trelleborg,3,2,2.29,3.46,3.41
15 Aug 2025,Superettan 2025,Finished,Utsikten,Varberg,1,1,3.70,3.65,2.06
12 Aug 2025,Superettan 2025,Finished,Vasteras SK,Orebro,2,1,1.56,4.55,5.96
10 Aug 2025,Superettan 2025,Finished,Helsingborg,Utsikten,3,0,1.72,3.94,5.10
10 Aug 2025,Superettan 2025,Finished,Trelleborg,Umea FC,0,2,1.76,4.20,4.80
10 Aug 2025,Superettan 2025,Finished,Kalmar,Varberg,2,0,1.96,3.60,3.97
09 Aug 2025,Superettan 2025,Finished,Falkenberg,Brage,0,1,2.06,3.86,3.63
09 Aug 2025,Superettan 2025,Finished,Landskrona,Ostersund,2,0,2.15,3.54,3.56
09 Aug 2025,Superettan 2025,Finished,Orgryte,Oddevold,0,0,1.65,4.27,5.22
09 Aug 2025,Superettan 2025,Finished,Sundsvall,Sandviken,1,0,2.55,3.54,2.84
04 Aug 2025,Superettan 2025,Finished,Umea FC,Falkenberg,0,2,3.60,4.10,1.98
03 Aug 2025,Superettan 2025,Finished,Landskrona,Vasteras SK,1,2,3.28,3.63,2.21
02 Aug 2025,Superettan 2025,Finished,Sandviken,Brage,2,5,2.13,3.70,3.50
02 Aug 2025,Superettan 2025,Finished,Trelleborg,Kalmar,0,0,4.23,3.70,2.00
02 Aug 2025,Superettan 2025,Finished,Varberg,Orgryte,1,2,2.29,3.80,2.95
02 Aug 2025,Superettan 2025,Finished,Utsikten,Sundsvall,4,1,2.77,3.30,2.76
02 Aug 2025,Superettan 2025,Finished,Ostersund,Helsingborg,2,2,2.63,3.50,2.71
01 Aug 2025,Superettan 2025,Finished,Orebro,Oddevold,0,0,2.20,3.70,3.30
28 Jul 2025,Superettan 2025,Finished,Helsingborg,Varberg,1,2,2.49,3.37,3.14
28 Jul 2025,Superettan 2025,Finished,Vasteras SK,Trelleborg,3,0,1.68,4.05,5.20
27 Jul 2025,Superettan 2025,Finished,Falkenberg,Landskrona,1,1,2.02,3.66,3.70
27 Jul 2025,Superettan 2025,Finished,Orgryte,Ostersund,6,0,1.80,4.05,4.21
27 Jul 2025,Superettan 2025,Finished,Kalmar,Utsikten,1,0,1.38,5.33,8.05
26 Jul 2025,Superettan 2025,Finished,Brage,Umea FC,2,2,1.57,4.51,5.40
26 Jul 2025,Superettan 2025,Finished,Oddevold,Sandviken,1,1,2.60,3.45,2.78
26 Jul 2025,Superettan 2025,Finished,Sundsvall,Orebro,1,1,2.52,3.55,2.85
21 Jul 2025,Superettan 2025,Finished,Utsikten,Helsingborg,1,2,3.26,3.70,2.19
21 Jul 2025,Superettan 2025,Finished,Landskrona,Trelleborg,1,2,2.25,3.55,3.40
20 Jul 2025,Superettan 2025,Finished,Kalmar,Brage,2,2,1.38,4.92,8.50
20 Jul 2025,Superettan 2025,Finished,Varberg,Sundsvall,0,2,1.90,3.52,4.90
19 Jul 2025,Superettan 2025,Finished,Sandviken,Vasteras SK,0,3,2.77,3.55,2.59
19 Jul 2025,Superettan 2025,Finished,Ostersund,Falkenberg,3,1,2.66,3.50,2.70
19 Jul 2025,Superettan 2025,Finished,Oddevold,Orgryte,0,1,3.05,3.65,2.31
19 Jul 2025,Superettan 2025,Finished,Umea FC,Orebro,1,1,3.32,3.65,2.25
29 Jun 2025,Superettan 2025,Finished,Falkenberg,Umea FC,2,0,1.45,4.92,7.25
29 Jun 2025,Superettan 2025,Finished,Orebro,Kalmar,2,2,5.40,4.13,1.67
28 Jun 2025,Superettan 2025,Finished,Trelleborg,Oddevold,0,0,2.25,3.32,3.41
28 Jun 2025,Superettan 2025,Finished,Sundsvall,Ostersund,1,1,2.50,3.20,3.14
28 Jun 2025,Superettan 2025,Finished,Orgryte,Helsingborg,0,2,2.02,3.84,3.57
28 Jun 2025,Superettan 2025,Finished,Vasteras SK,Landskrona,1,0,1.85,3.88,4.13
27 Jun 2025,Superettan 2025,Finished,Brage,Sandviken,1,2,2.59,3.51,2.75
27 Jun 2025,Superettan 2025,Finished,Varberg,Utsikten,1,1,1.62,4.18,5.60
23 Jun 2025,Superettan 2025,Finished,Helsingborg,Umea FC,5,1,1.55,4.68,6.00
23 Jun 2025,Superettan 2025,Finished,Sundsvall,Trelleborg,4,2,2.82,3.11,2.85
22 Jun 2025,Superettan 2025,Finished,Kalmar,Orgryte,2,3,1.65,4.05,5.51
22 Jun 2025,Superettan 2025,Finished,Landskrona,Orebro,1,0,1.69,4.54,4.43
22 Jun 2025,Superettan 2025,Finished,Oddevold,Varberg,2,1,3.55,3.30,2.19
22 Jun 2025,Superettan 2025,Finished,Vasteras SK,Brage,2,2,1.72,4.03,4.99
22 Jun 2025,Superettan 2025,Finished,Sandviken,Falkenberg,4,1,2.69,3.75,2.65
22 Jun 2025,Superettan 2025,Finished,Utsikten,Ostersund,1,0,2.80,3.73,2.54
15 Jun 2025,Superettan 2025,Finished,Varberg,Vasteras SK,1,0,2.57,3.37,2.87
15 Jun 2025,Superettan 2025,Finished,Brage,Orgryte,3,2,3.17,3.61,2.30
15 Jun 2025,Superettan 2025,Finished,Trelleborg,Utsikten,1,1,2.35,3.48,3.18
14 Jun 2025,Superettan 2025,Finished,Umea FC,Sundsvall,0,1,3.10,3.53,2.54
14 Jun 2025,Superettan 2025,Finished,Falkenberg,Helsingborg,2,2,2.02,3.59,4.10
14 Jun 2025,Superettan 2025,Finished,Kalmar,Landskrona,3,2,1.95,3.70,4.25
14 Jun 2025,Superettan 2025,Finished,Ostersund,Oddevold,1,3,2.23,3.44,3.56
13 Jun 2025,Superettan 2025,Finished,Orebro,Sandviken,0,1,2.54,3.59,2.75
01 Jun 2025,Superettan 2025,Finished,Oddevold,Landskrona,1,2,2.83,3.50,2.61
01 Jun 2025,Superettan 2025,Finished,Sundsvall,Falkenberg,0,0,3.30,3.50,2.35
01 Jun 2025,Superettan 2025,Finished,Helsingborg,Ostersund,0,0,1.98,3.60,3.99
31 May 2025,Superettan 2025,Finished,Orgryte,Trelleborg,2,0,2.14,3.70,3.50
31 May 2025,Superettan 2025,Finished,Sandviken,Varberg,2,1,2.97,3.70,2.42
31 May 2025,Superettan 2025,Finished,Utsikten,Kalmar,1,1,5.10,4.01,1.72
31 May 2025,Superettan 2025,Finished,Vasteras SK,Umea FC,2,2,1.28,5.95,10.87
30 May 2025,Superettan 2025,Finished,Orebro,Brage,3,3,2.55,3.55,2.80
27 May 2025,Superettan 2025,Finished,Trelleborg,Helsingborg,0,0,2.50,3.30,2.97
27 May 2025,Superettan 2025,Finished,Sandviken,Sundsvall,0,1,2.04,3.80,3.80
26 May 2025,Superettan 2025,Finished,Brage,Utsikten,2,2,2.38,3.60,3.17
26 May 2025,Superettan 2025,Finished,Landskrona,Falkenberg,0,3,2.07,3.73,3.63
26 May 2025,Superettan 2025,Finished,Oddevold,Vasteras SK,1,5,2.85,3.26,2.63
26 May 2025,Superettan 2025,Finished,Umea FC,Orgryte,3,3,4.80,4.26,1.74
25 May 2025,Superettan 2025,Finished,Varberg,Kalmar,0,0,3.80,3.51,2.16
24 May 2025,Superettan 2025,Finished,Ostersund,Orebro,3,1,2.25,3.48,3.23
22 May 2025,Superettan 2025,Finished,Sundsvall,Brage,0,2,2.49,3.25,3.20
22 May 2025,Superettan 2025,Finished,Helsingborg,Oddevold,0,2,2.25,3.50,3.40
22 May 2025,Superettan 2025,Finished,Kalmar,Umea FC,2,0,1.24,6.64,15.19
22 May 2025,Superettan 2025,Finished,Varberg,Landskrona,4,2,2.35,3.30,3.20
21 May 2025,Superettan 2025,Finished,Falkenberg,Trelleborg,4,0,2.39,3.50,3.01
21 May 2025,Superettan 2025,Finished,Utsikten,Orebro,4,4,2.13,3.70,3.54
21 May 2025,Superettan 2025,Finished,Orgryte,Sandviken,4,0,2.15,3.82,3.30
21 May 2025,Superettan 2025,Finished,Vasteras SK,Ostersund,1,0,1.55,4.50,6.50
19 May 2025,Superettan 2025,Finished,Landskrona,Helsingborg,3,3,2.12,3.50,3.59
18 May 2025,Superettan 2025,Finished,Brage,Oddevold,1,2,2.33,3.41,3.39
17 May 2025,Superettan 2025,Finished,Orebro,Sundsvall,1,2,2.15,3.30,3.81
17 May 2025,Superettan 2025,Finished,Ostersund,Sandviken,2,2,2.54,3.65,2.75
17 May 2025,Superettan 2025,Finished,Umea FC,Utsikten,1,3,3.02,3.70,2.31
17 May 2025,Superettan 2025,Finished,Trelleborg,Vasteras SK,5,0,2.75,3.40,2.78
16 May 2025,Superettan 2025,Finished,Falkenberg,Kalmar,0,0,4.34,3.79,1.85
16 May 2025,Superettan 2025,Finished,Orgryte,Varberg,5,1,2.38,3.48,3.06
13 May 2025,Superettan 2025,Finished,Helsingborg,Brage,1,0,2.04,3.50,4.08
12 May 2025,Superettan 2025,Finished,Landskrona,Orgryte,1,1,2.02,3.74,4.00
11 May 2025,Superettan 2025,Finished,Kalmar,Trelleborg,2,0,1.75,4.10,5.10
11 May 2025,Superettan 2025,Finished,Ostersund,Varberg,0,1,2.49,3.50,2.82
10 May 2025,Superettan 2025,Finished,Utsikten,Falkenberg,2,2,2.78,3.50,2.55
10 May 2025,Superettan 2025,Finished,Oddevold,Orebro,2,1,2.06,3.70,3.85
10 May 2025,Superettan 2025,Finished,Sundsvall,Vasteras SK,1,2,3.80,3.51,2.04
10 May 2025,Superettan 2025,Finished,Sandviken,Umea FC,2,1,1.58,5.00,6.20
06 May 2025,Superettan 2025,Finished,Vasteras SK,Kalmar,2,2,2.70,3.44,2.75
05 May 2025,Superettan 2025,Finished,Brage,Ostersund,0,2,2.13,3.35,3.91
05 May 2025,Superettan 2025,Finished,Orebro,Trelleborg,0,0,3.00,3.75,2.52
04 May 2025,Superettan 2025,Finished,Orgryte,Falkenberg,4,2,2.35,3.54,2.99
03 May 2025,Superettan 2025,Finished,Varberg,Helsingborg,1,0,2.30,3.60,3.21
03 May 2025,Superettan 2025,Finished,Umea FC,Landskrona,0,2,4.00,3.58,1.96
03 May 2025,Superettan 2025,Finished,Sandviken,Oddevold,0,2,2.06,3.50,3.68
03 May 2025,Superettan 2025,Finished,Sundsvall,Utsikten,2,2,2.20,3.46,3.39
29 Apr 2025,Superettan 2025,Finished,Falkenberg,Orebro,2,1,1.99,3.46,4.20
28 Apr 2025,Superettan 2025,Finished,Utsikten,Vasteras SK,2,2,4.50,3.80,1.91
27 Apr 2025,Superettan 2025,Finished,Umea FC,Brage,0,1,3.47,3.40,2.23
27 Apr 2025,Superettan 2025,Finished,Helsingborg,Kalmar,1,5,3.13,3.45,2.46
27 Apr 2025,Superettan 2025,Finished,Trelleborg,Varberg,0,4,2.24,3.55,3.40
26 Apr 2025,Superettan 2025,Finished,Landskrona,Sandviken,1,0,1.94,3.81,4.00
26 Apr 2025,Superettan 2025,Finished,Oddevold,Sundsvall,1,2,2.06,3.40,4.10
26 Apr 2025,Superettan 2025,Finished,Ostersund,Orgryte,2,1,2.42,3.55,2.90
22 Apr 2025,Superettan 2025,Finished,Helsingborg,Vasteras SK,2,0,2.58,3.41,2.87
21 Apr 2025,Superettan 2025,Finished,Varberg,Umea FC,4,0,1.70,4.13,5.02
20 Apr 2025,Superettan 2025,Finished,Kalmar,Ostersund,2,0,1.46,4.40,8.15
20 Apr 2025,Superettan 2025,Finished,Trelleborg,Brage,0,1,2.15,3.30,4.26
20 Apr 2025,Superettan 2025,Finished,Sundsvall,Landskrona,1,2,3.05,3.68,2.37
20 Apr 2025,Superettan 2025,Finished,Utsikten,Sandviken,4,1,2.71,3.60,2.58
19 Apr 2025,Superettan 2025,Finished,Falkenberg,Oddevold,2,2,2.34,3.34,3.50
19 Apr 2025,Superettan 2025,Finished,Orgryte,Orebro,3,0,1.80,3.90,4.60
15 Apr 2025,Superettan 2025,Finished,Orebro,Helsingborg,0,2,2.92,3.45,2.50
14 Apr 2025,Superettan 2025,Finished,Vasteras SK,Falkenberg,1,0,1.47,4.35,7.10
13 Apr 2025,Superettan 2025,Finished,Brage,Varberg,1,1,2.06,3.49,3.61
12 Apr 2025,Superettan 2025,Finished,Umea FC,Ostersund,2,2,2.47,3.38,3.08
12 Apr 2025,Superettan 2025,Finished,Landskrona,Utsikten,2,1,1.87,3.77,4.00
12 Apr 2025,Superettan 2025,Finished,Orgryte,Sundsvall,0,0,1.71,3.84,4.88
12 Apr 2025,Superettan 2025,Finished,Sandviken,Trelleborg,2,0,2.19,3.70,3.35
11 Apr 2025,Superettan 2025,Finished,Oddevold,Kalmar,1,3,3.70,3.38,2.10
08 Apr 2025,Superettan 2025,Finished,Vasteras SK,Orgryte,1,1,1.63,4.10,5.60
07 Apr 2025,Superettan 2025,Finished,Brage,Falkenberg,0,2,1.80,3.81,4.61
07 Apr 2025,Superettan 2025,Finished,Varberg,Orebro,2,1,2.19,3.60,3.34
06 Apr 2025,Superettan 2025,Finished,Umea FC,Trelleborg,0,1,2.85,3.50,2.51
05 Apr 2025,Superettan 2025,Finished,Helsingborg,Sandviken,1,2,1.90,3.75,3.84
05 Apr 2025,Superettan 2025,Finished,Kalmar,Sundsvall,1,0,1.43,4.50,7.96
05 Apr 2025,Superettan 2025,Finished,Ostersund,Landskrona,3,3,2.37,3.50,2.94
05 Apr 2025,Superettan 2025,Finished,Utsikten,Oddevold,0,2,2.75,3.15,2.97
01 Apr 2025,Superettan 2025,Finished,Orebro,Vasteras SK,0,2,3.50,3.58,2.15
31 Mar 2025,Superettan 2025,Finished,Oddevold,Umea FC,1,0,1.66,3.97,5.42
30 Mar 2025,Superettan 2025,Finished,Trelleborg,Ostersund,0,1,1.99,3.62,4.11
30 Mar 2025,Superettan 2025,Finished,Landskrona,Brage,2,2,2.23,3.29,3.40
29 Mar 2025,Superettan 2025,Finished,Falkenberg,Varberg,2,2,2.15,3.86,3.33
29 Mar 2025,Superettan 2025,Finished,Sundsvall,Helsingborg,2,0,3.76,3.90,2.05
29 Mar 2025,Superettan 2025,Finished,Sandviken,Kalmar,0,0,2.85,3.75,2.48
29 Mar 2025,Superettan 2025,Finished,Orgryte,Utsikten,2,1,1.97,3.58,3.92
24 Nov 2024 - Relegation,Superettan 2024,After ET,Sundsvall,Stockholm Internazionale,3,2,2.59,3.27,3.07
24 Nov 2024 - Relegation,Superettan 2024,Finished,Ostersund,Lunds,3,2,1.58,4.17,5.47
22 Nov 2024 - Relegation,Superettan 2024,Finished,Stockholm Internazionale,Sundsvall,0,1,2.02,3.45,3.83
22 Nov 2024 - Relegation,Superettan 2024,Finished,Lunds,Ostersund,0,2,3.00,3.38,2.46
09 Nov 2024,Superettan 2024,Finished,Ostersund,Brage,1,1,1.82,3.90,4.55
09 Nov 2024,Superettan 2024,Finished,Degerfors,Oster,1,2,3.20,3.40,2.31
09 Nov 2024,Superettan 2024,Finished,Sundsvall,Gefle,3,0,2.10,3.42,4.10
09 Nov 2024,Superettan 2024,Finished,Helsingborg,Orgryte,1,2,1.68,4.41,5.50
09 Nov 2024,Superettan 2024,Finished,Utsikten,Landskrona,3,0,5.50,4.18,1.62
09 Nov 2024,Superettan 2024,Finished,Oddevold,Trelleborg,0,3,1.91,3.90,3.83
09 Nov 2024,Superettan 2024,Finished,Skovde AIK,Orebro,2,2,4.50,4.27,1.73
09 Nov 2024,Superettan 2024,Finished,Varberg,Sandviken,2,1,2.50,4.04,2.50
05 Nov 2024,Superettan 2024,Finished,Orgryte,Ostersund,2,1,3.02,3.92,2.35
03 Nov 2024,Superettan 2024,Finished,Brage,Oddevold,1,2,2.30,3.51,3.29
03 Nov 2024,Superettan 2024,Finished,Orebro,Helsingborg,2,1,2.69,3.55,2.65
03 Nov 2024,Superettan 2024,Finished,Oster,Skovde AIK,5,2,1.16,8.52,16.92
02 Nov 2024,Superettan 2024,Finished,Sandviken,Sundsvall,1,2,1.61,4.51,5.20
02 Nov 2024,Superettan 2024,Finished,Trelleborg,Varberg,0,1,3.23,4.13,2.09
02 Nov 2024,Superettan 2024,Finished,Landskrona,Degerfors,1,1,2.41,3.38,3.09
02 Nov 2024,Superettan 2024,Finished,Gefle,Utsikten,2,0,1.85,3.96,4.00
29 Oct 2024,Superettan 2024,Finished,Oddevold,Skovde AIK,2,2,1.51,4.38,6.45
27 Oct 2024,Superettan 2024,Finished,Orebro,Oster,0,1,4.00,3.89,1.87
27 Oct 2024,Superettan 2024,Finished,Varberg,Degerfors,0,0,3.17,3.61,2.21
26 Oct 2024,Superettan 2024,Finished,Trelleborg,Gefle,1,0,1.68,4.20,4.76
26 Oct 2024,Superettan 2024,Finished,Sundsvall,Orgryte,1,1,2.30,3.60,3.16
26 Oct 2024,Superettan 2024,Finished,Landskrona,Brage,3,0,2.12,3.66,3.34
26 Oct 2024,Superettan 2024,Finished,Sandviken,Helsingborg,2,2,1.73,4.50,4.40
26 Oct 2024,Superettan 2024,,,,-1,-1,,,
26 Oct 2024,Superettan 2024,Finished,Utsikten,Ostersund,3,1,2.73,3.50,2.58
22 Oct 2024,Superettan 2024,Finished,Degerfors,Orebro,1,2,1.76,3.94,4.88
21 Oct 2024,Superettan 2024,Finished,Helsingborg,Sundsvall,2,1,1.63,4.20,5.31
20 Oct 2024,Superettan 2024,Finished,Oster,Varberg,3,4,1.47,5.00,6.60
19 Oct 2024,Superettan 2024,Finished,Brage,Trelleborg,1,0,1.77,4.33,4.45
19 Oct 2024,Superettan 2024,Finished,Ostersund,Landskrona,2,1,2.93,3.50,2.42
19 Oct 2024,Superettan 2024,Finished,Gefle,Oddevold,1,1,3.00,3.55,2.36
19 Oct 2024,Superettan 2024,Finished,Skovde AIK,Utsikten,1,1,2.88,3.52,2.50
18 Oct 2024,Superettan 2024,Finished,Orgryte,Sandviken,4,2,3.25,4.01,2.14
06 Oct 2024,Superettan 2024,Finished,Sundsvall,Degerfors,1,2,4.50,3.64,1.87
06 Oct 2024,Superettan 2024,Finished,Oddevold,Oster,1,1,4.10,3.68,1.92
